filename, language, JSON with Comments, Markdown, JSON, Properties, JavaScript, XML, C#, HTML, TypeScript, CSS, comment, blank, total
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\PreferenceForUpdateDto.cs, C#, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 1, 22
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\UserForDetailedDto.cs, C#, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\UserForListDto.cs, C#, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\UserForLoginDto.cs, C#, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\UserForPreferencesSort.cs, C#, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\UserForRegisterDto.cs, C#, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 9, 39
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\UserForUpdateDto.cs, C#, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\UsersTemplateForUpdateDto.cs, C#, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 0, 16
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Data\AuthRepository.cs, C#, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 13, 75
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Data\DataContext.cs, C#, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 8, 49
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Data\DatingRepository.cs, C#, 0, 0, 0, 0, 0, 0, 235, 0, 0, 0, 1, 30, 266
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Data\IAuthRepository.cs, C#, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Data\IDatingRepository.cs, C#, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Data\Seed.cs, C#, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 7, 49
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Data\UserSeedData.json, JSON, 0, 0, 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 491
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Data\UserToSort.cs, C#, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DatingApp.API.csproj, XML, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Helpers\AutoMapperProfiles.cs, C#, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 2, 41
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Helpers\CloudinarySettings.cs, C#, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
